-467.939911f, -6056.031250f, -543.96875f, 9.259290f, 90.082581f, "pl_borneo"
// Red
-1016.030029f, -2580.031982f, -31.968742f, 9.347898f, 0.041826f, "ctf_doublecross"
// Blue
1016.001953f, 2580.053223f, -31.968742f, 7.275527f, -179.931656f, "ctf_doublecross"
// Turbine
// Red
1992.028442f, 936.019775f, -255.970061f, 0.272817f, -179.983673f, "ctf_turbine"
1696.029175f, 1008.293091f, -255.970061f, 35.000000f, -90.038498f, "ctf_turbine"
1927.989624f, 936.019775f, -255.970061f, 0.432120f, -0.026141f, "ctf_turbine"
// Blue
-1992.051514f, -936.055908f, -255.970061f, -0.768594f, 0.064962f, "ctf_turbine"
-1696.021606f, -1008.698181f, -255.970061f, 35.000000f, 89.979446f, "ctf_turbine"
-1927.023193f, -936.055847f, -255.970061f, 2.673917f, 179.936523f, "ctf_turbine"
// Swiftwater
5543.948730f, -1527.988037f, -1023.96875f, 23.115799f, -0.012952f, "pl_swiftwater_final1"
2636.031250f, -1126.089478f, 13.124457f, 0.0f, 179.843811f, "pl_swiftwater_final1"
// Thundermountain
// Phase 1
-1068.001587f, -3724.079834f, 132.000061f - 68.000061f, 17.606197f, 0.118330f, "pl_thundermountain"
-655.932190f, -3820.002930f, 132.031311f - 68.000061f, 35.448536f, 90.085930f, "pl_thundermountain"
// Phase 2
-5088.036133f, 2212.007568f, 516.031311f - 68.000061f, 15.974121f, -89.956055f, "pl_thundermountain"
// Phase 3
2191.972900f, 3353.798340f, 452.031311f - 68.000061f, 12.601318f, 89.972534f, "pl_thundermountain"
4889.611328f, 4287.997070f, 576.031250f, 11.911232f, 179.998672f, "pl_thundermountain"
-3328.097656f, -928.001221f, -311.968750f, -1.423861f, 89.814667f, "cp_mossrock"
-3196.043945f, -2279.998047f, -911.968750f, 1.775288f, -89.961723f, "cp_freight_final"
// BLU
2520.000488f, -1504.038208f, -255.968750f, 10.355393f, 179.964737f, "cp_metalworks"
// RED
2520.000488f, -1504.038208f, -255.968750f, 10.355393f, 179.964737f, "cp_metalworks"
-2200.000732f, -239.958237f, -255.968750f, 9.434929f, -0.050000f, "cp_metalworks"
-55.984505f, 1192.050781f, 40.031250f, 31.116224f, -179.940414f, "cp_steel"
496.035187f, 1047.999878f, -31.968750f, 32.440540f, 90.028824f, "cp_steel"
// BLU
248.003799f, 4019.908447f, -511.968750f, 40.674805f, 179.849152f, "cp_well"
-503.968750f, 3523.987793f, -59.968681f, 8.679073f, 179.988388f, "cp_well"
// RED
-248.014771f, -4076.025635f, -511.968750f, 33.080845f, 0.033083f, "cp_well"
503.968750f, -3523.953857f, -59.968681f, 14.753245f, -0.039562f, "cp_well"
486.202484f, 424.059570f, 12.031319f, 17.613194f, -0.070299f, "cp_junction_final"
-1620.050171, -992.000977, 64.031250, 34.978249, 89.950172,  "plr_pipeline"
-1643.934570, 704.005798, 0.031250, 7.940653, -90.106056, "plr_pipeline"
