511.943848f, 2783.968750f, 256.029939f, 7.622991f, 89.936729f, "pl_badwater"
-467.939911f, -6056.031250f, -543.96875f, 9.259290f, 90.082581f, "pl_borneo"
// Stage 1
-1754.255615f, -3344.038574f, -352.409424f, 36.452919f, 0.050812f, "cp_egypt"
// Stage 2
2919.968750f, 1999.951416f, 256.326172f, 11.952104f, 0.053882f, "cp_egypt"
87.946884f, 1885.851685f, -158.814934f, 34.806473f, 89.951176f, "cp_egypt"
// Stage 3
1263.968750f, 4495.946289f, 641.140503f, 7.465197f, 0.074329f, "cp_egypt"
1519.956543f, -1311.202271f, 110.028976f, 29.606899f, -89.951279f, "cp_mossrock"
// Phase 2
-2456.001465f, 1055.965454f, 512.031250f, -62.966915f, 0.056807f, "pl_thundermountain"
-2144.050537f, 927.939697f, 512.031250f, -65.708885f, 0.084181f, "pl_thundermountain"
